nhgiscode,gjoin1970,gjoin1980,gjoin1990,gjoin2000,gjoin2010,gjoin2012,state,statefp,statenh,county,countyfp,countynh,tracta,name1970,name1980,name1990,name2000,name2010,name2012,r_wh_1970,r_wh_1980,r_wh_1990,r_wh_2000,r_wh_2010,r_bl_1970,r_bl_1980,r_bl_1990,r_bl_2000,r_bl_2010,r_ai_1970,r_ai_1980,r_ai_1990,r_ai_2000,r_ai_2010,r_as_1970,r_as_1980,r_as_1990,r_as_2000,r_as_2010,r_2m_2000,r_2m_2010,emp_tot_1970,emp_tot_1980,emp_tot_1990,emp_tot_2000,emp_tot_2012,emp_1970,emp_1980,emp_1990,emp_2000,emp_2012,emp_un_1970,emp_un_1980,emp_un_1990,emp_un_2000,emp_un_2012,pov_1970,pov_1980,pov_1990,pov_2000,pov_2012,pop_2012,pop_1980,pop_2000,pop_1970,pop_1990,pop_2010
G4701570009500,G47015700095,G47015700095,G47015700095,G4701570009500,G4701570009500,G4701570009500,Tennessee,47,470,Shelby County,157,1570,9500,Tract   95,State: 47 County: 157 Tract: 95,Tract 95,Census Tract 95,Census Tract 95,"Census Tract 95, Shelby County, Tennessee",9485.0,7355.0,6687.0,6058.0,5651.0,423.0,309.0,238.0,146.0,488.0,4.0,5.0,7.0,6.0,10.0,14.0,14.0,43.0,50.0,125.0,40.0,72.0,4090.0,4317.0,3758.0,3351.0,3870.0,4016.0,4177.0,3581.0,3245.0,3612.0,66.0,140.0,169.0,106.0,258.0,557.0,384.0,456.0,261.0,241.0,0.0,7683.0,6300.0,9926.0,6975.0,6346.0
G4701570009600,G47015700096,G47015700096,G47015700096,G4701570009600,G4701570009600,G4701570009600,Tennessee,47,470,Shelby County,157,1570,9600,Tract   96,State: 47 County: 157 Tract: 96,Tract 96,Census Tract 96,Census Tract 96,"Census Tract 96, Shelby County, Tennessee",6612.0,5068.0,4947.0,4913.0,4577.0,110.0,7.0,29.0,117.0,104.0,1.0,7.0,4.0,9.0,7.0,3.0,0.0,46.0,72.0,110.0,26.0,32.0,2541.0,2369.0,2526.0,2479.0,2539.0,2458.0,2322.0,2408.0,2446.0,2402.0,83.0,47.0,118.0,24.0,137.0,308.0,35.0,79.0,255.0,206.0,0.0,5082.0,5137.0,6726.0,5026.0,4830.0
G4701570009700,G47015700097,G47015700097,G47015700097,G4701570009700,G4701570009700,G4701570009700,Tennessee,47,470,Shelby County,157,1570,9700,Tract   97,State: 47 County: 157 Tract: 97,Tract 97,Census Tract 97,Census Tract 97,"Census Tract 97, Shelby County, Tennessee",3512.0,2753.0,2368.0,1787.0,960.0,0.0,27.0,168.0,665.0,1490.0,2.0,6.0,8.0,13.0,13.0,2.0,4.0,29.0,70.0,395.0,53.0,50.0,1494.0,1639.0,1422.0,1227.0,1538.0,1451.0,1583.0,1379.0,1180.0,1249.0,37.0,56.0,43.0,47.0,289.0,160.0,73.0,71.0,194.0,842.0,0.0,2790.0,2588.0,3516.0,2573.0,2908.0
G4701570009800,G47015700098,G47015700098,G47015700098,G4701570009800,G4701570009800,G4701570009800,Tennessee,47,470,Shelby County,157,1570,9800,Tract   98,State: 47 County: 157 Tract: 98,Tract 98,Census Tract 98,Census Tract 98,"Census Tract 98, Shelby County, Tennessee",4771.0,3134.0,2973.0,2610.0,2270.0,7.0,0.0,13.0,122.0,355.0,0.0,0.0,7.0,10.0,12.0,7.0,0.0,28.0,96.0,405.0,50.0,68.0,2149.0,1801.0,1656.0,1384.0,1814.0,2093.0,1749.0,1614.0,1305.0,1617.0,51.0,52.0,42.0,72.0,197.0,208.0,174.0,199.0,322.0,742.0,0.0,3134.0,2888.0,4785.0,3021.0,3110.0
G4701570009900,G47015700099,G47015700099,G47015700099,G4701570009900,,,Tennessee,47,470,Shelby County,157,1570,9900,Tract   99,State: 47 County: 157 Tract: 99,Tract 99,Census Tract 99,,,8667.0,6637.0,5602.0,3589.0,,38.0,1674.0,2383.0,4305.0,,2.0,11.0,35.0,28.0,,28.0,32.0,50.0,138.0,,91.0,,4103.0,3981.0,3801.0,3556.0,,3726.0,3576.0,3563.0,3082.0,,148.0,342.0,230.0,461.0,,649.0,1249.0,1863.0,2152.0,,0.0,8354.0,8151.0,8735.0,8070.0,0.0
G4701570009901,,,,,G4701570009901,G4701570009901,Tennessee,47,470,Shelby County,157,1570,9901,,,,,Census Tract 99.01,"Census Tract 99.01, Shelby County, Tennessee",,,,,1486.0,,,,,1716.0,,,,,24.0,,,,,457.0,,100.0,,,,,1699.0,,,,,1495.0,,,,,204.0,,,,,1537.0,0.0,0.0,0.0,0.0,0.0,3783.0
G4701570009902,,,,,G4701570009902,G4701570009902,Tennessee,47,470,Shelby County,157,1570,9902,,,,,Census Tract 99.02,"Census Tract 99.02, Shelby County, Tennessee",,,,,538.0,,,,,2282.0,,,,,2.0,,,,,8.0,,21.0,,,,,1112.0,,,,,793.0,,,,,319.0,,,,,1833.0,0.0,0.0,0.0,0.0,0.0,2851.0
G4701570010000,G47015700100,G47015700100,G47015700100,G4701570010000,G4701570010000,G4701570010000,Tennessee,47,470,Shelby County,157,1570,10000,Tract  100,State: 47 County: 157 Tract: 100,Tract 100,Census Tract 100,Census Tract 100,"Census Tract 100, Shelby County, Tennessee",6556.0,5661.0,3752.0,1387.0,607.0,25.0,1641.0,3089.0,6301.0,6910.0,1.0,5.0,8.0,13.0,6.0,35.0,11.0,57.0,41.0,42.0,43.0,88.0,2632.0,3586.0,3472.0,3452.0,3651.0,2441.0,3311.0,3075.0,3063.0,2560.0,75.0,226.0,355.0,389.0,1091.0,429.0,659.0,1149.0,1419.0,3367.0,0.0,7318.0,7785.0,6617.0,6906.0,7653.0
G4701570010100,G47015700101,,,,,,Tennessee,47,470,Shelby County,157,1570,10100,Tract  101,,,,,,14094.0,,,,,8.0,,,,,1.0,,,,,30.0,,,,,,,6164.0,,,,,5804.0,,,,,192.0,,,,,854.0,,,,,0.0,0.0,0.0,14133.0,0.0,0.0
G4701570010110,,G4701570010110,G4701570010110,G4701570010110,G4701570010110,G4701570010110,Tennessee,47,470,Shelby County,157,1570,10110,,State: 47 County: 157 Tract: 101.10,Tract 101.10,Census Tract 101.10,Census Tract 101.10,"Census Tract 101.10, Shelby County, Tennessee",,6443.0,3980.0,1640.0,702.0,,1721.0,3519.0,6120.0,6387.0,,47.0,18.0,10.0,29.0,,44.0,73.0,71.0,16.0,33.0,57.0,,3825.0,3403.0,3129.0,3222.0,,3402.0,2958.0,2741.0,2375.0,,400.0,428.0,381.0,847.0,,1610.0,2257.0,2449.0,3909.0,0.0,8255.0,7874.0,0.0,7590.0,7191.0
